location,continent,date,population,new_cases,total_cases,new_deaths,total_deaths,new_vaccinations,total_vaccinations
Australia,Oceania,2020-02-01,25499881,12.69,12.69,2.81,2.81,0.0,0.0
Australia,Oceania,2020-02-02,25499881,1.76,14.45,9.6,12.41,0.0,0.0
Australia,Oceania,2020-02-03,25499881,12.85,27.3,0.0,12.41,0.0,0.0
Australia,Oceania,2020-02-04,25499881,0.0,27.3,0.0,12.41,0.0,0.0
Australia,Oceania,2020-02-05,25499881,0.0,27.3,0.0,12.41,0.0,0.0
Australia,Oceania,2020-02-06,25499881,147.35,174.65,8.61,21.01,0.0,0.0
Australia,Oceania,2020-02-07,25499881,0.0,174.65,0.0,21.01,0.0,0.0
Australia,Oceania,2020-02-08,25499881,88.62,263.27,5.69,26.7,0.0,0.0
Australia,Oceania,2020-02-09,25499881,79.26,342.53,0.0,26.7,0.0,0.0
Australia,Oceania,2020-02-10,25499881,0.0,342.53,1.94,28.64,0.0,0.0
Australia,Oceania,2020-02-11,25499881,0.0,342.53,0.0,28.64,0.0,0.0
Australia,Oceania,2020-02-12,25499881,0.0,342.53,0.0,28.64,0.0,0.0
Australia,Oceania,2020-02-13,25499881,125.66,468.19,13.69,42.33,0.0,0.0
Australia,Oceania,2020-02-14,25499881,0.0,468.19,0.0,42.33,0.0,0.0
Australia,Oceania,2020-02-15,25499881,10.34,478.53,4.01,46.34,0.0,0.0
Australia,Oceania,2020-02-16,25499881,0.0,478.53,13.85,60.19,0.0,0.0
Australia,Oceania,2020-02-17,25499881,592.49,1071.01,12.59,72.78,0.0,0.0
Australia,Oceania,2020-02-18,25499881,58.63,1129.64,0.0,72.78,0.0,0.0
Australia,Oceania,2020-02-19,25499881,178.58,1308.22,0.0,72.78,0.0,0.0
Australia,Oceania,2020-02-20,25499881,0.0,1308.22,0.0,72.78,0.0,0.0
Australia,Oceania,2020-02-21,25499881,0.0,1308.22,1.26,74.05,0.0,0.0
Australia,Oceania,2020-02-22,25499881,652.27,1960.49,9.63,83.68,0.0,0.0
Australia,Oceania,2020-02-23,25499881,0.0,1960.49,0.0,83.68,0.0,0.0
Australia,Oceania,2020-02-24,25499881,169.69,2130.18,0.0,83.68,0.0,0.0
Australia,Oceania,2020-02-25,25499881,0.0,2130.18,0.0,83.68,0.0,0.0
Australia,Oceania,2020-02-26,25499881,0.0,2130.18,0.0,83.68,0.0,0.0
Australia,Oceania,2020-02-27,25499881,0.0,2130.18,15.88,99.56,0.0,0.0
Australia,Oceania,2020-02-28,25499881,0.0,2130.18,0.0,99.56,0.0,0.0
Australia,Oceania,2020-02-29,25499881,116.57,2246.75,0.0,99.56,0.0,0.0
Australia,Oceania,2020-03-01,25499881,0.0,2246.75,0.0,99.56,0.0,0.0
Australia,Oceania,2020-03-02,25499881,5.5,2252.26,5.15,104.71,0.0,0.0
Australia,Oceania,2020-03-03,25499881,90.61,2342.87,0.76,105.47,0.0,0.0
Australia,Oceania,2020-03-04,25499881,0.0,2342.87,0.0,105.47,0.0,0.0
Australia,Oceania,2020-03-05,25499881,665.3,3008.17,5.08,110.55,0.0,0.0
Australia,Oceania,2020-03-06,25499881,0.0,3008.17,0.0,110.55,0.0,0.0
Australia,Oceania,2020-03-07,25499881,67.26,3075.43,3.17,113.72,0.0,0.0
Australia,Oceania,2020-03-08,25499881,0.0,3075.43,21.48,135.2,0.0,0.0
Australia,Oceania,2020-03-09,25499881,137.85,3213.28,6.06,141.26,0.0,0.0
Australia,Oceania,2020-03-10,25499881,632.78,3846.06,6.85,148.11,0.0,0.0
Australia,Oceania,2020-03-11,25499881,1049.38,4895.44,7.27,155.38,0.0,0.0
Australia,Oceania,2020-03-12,25499881,454.07,5349.51,0.0,155.38,0.0,0.0
Australia,Oceania,2020-03-13,25499881,583.54,5933.05,12.87,168.25,0.0,0.0
Australia,Oceania,2020-03-14,25499881,813.54,6746.6,15.2,183.45,0.0,0.0
Australia,Oceania,2020-03-15,25499881,310.35,7056.95,0.0,183.45,0.0,0.0
Australia,Oceania,2020-03-16,25499881,783.71,7840.66,19.11,202.56,0.0,0.0
Australia,Oceania,2020-03-17,25499881,522.77,8363.42,6.44,209.0,0.0,0.0
Australia,Oceania,2020-03-18,25499881,307.56,8670.99,9.89,218.89,0.0,0.0
Australia,Oceania,2020-03-19,25499881,391.98,9062.97,7.07,225.96,0.0,0.0
Australia,Oceania,2020-03-20,25499881,0.0,9062.97,0.0,225.96,0.0,0.0
Australia,Oceania,2020-03-21,25499881,397.4,9460.37,0.0,225.96,0.0,0.0
Australia,Oceania,2020-03-22,25499881,0.0,9460.37,0.0,225.96,0.0,0.0
Australia,Oceania,2020-03-23,25499881,0.0,9460.37,6.74,232.7,0.0,0.0
Australia,Oceania,2020-03-24,25499881,405.02,9865.39,0.8,233.5,0.0,0.0
Australia,Oceania,2020-03-25,25499881,0.0,9865.39,3.52,237.01,0.0,0.0
Australia,Oceania,2020-03-26,25499881,365.84,10231.23,0.0,237.01,0.0,0.0
