location,continent,population,total_cases,total_deaths,total_vaccinations,case_fatality_rate_%,cases_per_million
India,Asia,1380004385,28948565.84,347513.76,1048944728.09,1.2004524228271753,20977.154967518454
United States,North America,331002647,7770915.22,93479.5,251595926.31,1.202940674985256,23476.897512544667
Brazil,South America,212559409,5396967.5,65119.49,161566929.71,1.2065940734310519,25390.395679920242
Japan,Asia,126476458,3679407.87,44321.23,96135066.88,1.2045750720210315,29091.642256458512
Germany,Europe,83783945,2793815.0,33851.72,63684382.72,1.2116664847171341,33345.46970783006
United Kingdom,Europe,67886004,2507457.34,30089.62,51600318.65,1.2000052611064562,36936.29308332834
France,Europe,67839115,2504893.04,30220.35,51564678.21,1.2064527114499068,36924.02296226889
Italy,Europe,60461828,2325414.68,27968.94,45957184.21,1.2027506423069454,38460.87286676149
Canada,North America,37742157,1883150.22,22671.21,28687906.39,1.2038981149363643,49895.140333394294
Australia,Oceania,25499881,1625352.96,19725.02,19382522.28,1.213583786748695,63739.629216308895
